"","subj","word","rt","acc","wordLength","realpseudo","visit_age"
"10512",114,"garden",1.249455,1,6,"real",10.5
"10627",114,"then",0.81542,1,4,"real",10.5
"10663",114,"open",0.75109,1,4,"real",10.5
"10854",114,"children",1.24922,1,8,"real",10.5
"10873",114,"even",0.666725,1,4,"real",10.5
"58",3,"garden",1.233145,1,6,"real",11.75
"142",3,"then",0.767645,1,4,"real",11.75
"1581",3,"open",0.900345,1,4,"real",11.75
"320",3,"children",0.802025,1,8,"real",11.75
"332",3,"even",0.73457,1,4,"real",11.75
"537",29,"garden",1.785255,1,6,"real",11.1666666666667
"621",29,"open",0.67916,1,4,"real",11.1666666666667
"654",29,"then",0.62513,1,4,"real",11.1666666666667
"815",29,"children",0.692205,1,8,"real",11.1666666666667
"828",29,"even",0.899325,1,4,"real",11.1666666666667
"1010",97,"garden",0.77296,1,6,"real",11.6666666666667
"1110",97,"open",0.866395,1,4,"real",11.6666666666667
"1139",97,"then",0.590135,1,4,"real",11.6666666666667
"13171",97,"even",0.5634,1,4,"real",11.6666666666667
"1356",97,"children",0.56218,1,8,"real",11.6666666666667
"1558",68,"garden",0.546175,1,6,"real",11.3333333333333
"1614",68,"then",0.723745,1,4,"real",11.3333333333333
"1623",68,"open",0.939695,1,4,"real",11.3333333333333
"1837",68,"even",0.736805,1,4,"real",11.3333333333333
"1883",68,"children",0.623415,1,8,"real",11.3333333333333
"2052",107,"garden",0.604215,1,6,"real",11.3333333333333
"2138",107,"open",0.640555,1,4,"real",11.3333333333333
"2143",107,"then",0.71896,1,4,"real",11.3333333333333
"2313",107,"children",1.15114,1,8,"real",11.3333333333333
"2318",107,"even",0.629705,1,4,"real",11.3333333333333
"2598",108,"garden",0.76581,1,6,"real",11.5
"2605",108,"then",0.61397,0,4,"real",11.5
"2611",108,"open",93.628145,1,4,"real",11.5
"2849",108,"even",3.675875,0,4,"real",11.5
"2893",108,"children",0.860675,1,8,"real",11.5
"72",10,"garden",1.297545,1,6,"real",12.8333333333333
"101",10,"then",3.888005,0,4,"real",12.8333333333333
"1931",10,"open",0.8635,1,4,"real",12.8333333333333
"307",10,"children",1.400095,1,8,"real",12.8333333333333
"352",10,"even",0.872115,1,4,"real",12.8333333333333
"599",105,"garden",1.93519,1,6,"real",12.8333333333333
"601",105,"open",0.89755,1,4,"real",12.8333333333333
"688",105,"then",0.7672,1,4,"real",12.8333333333333
"826",105,"even",0.93824,0,4,"real",12.8333333333333
"846",105,"children",0.750495,0,8,"real",12.8333333333333
"1052",14,"garden",0.662655,1,6,"real",12.0833333333333
"1154",14,"then",0.52632,1,4,"real",12.0833333333333
"1174",14,"open",0.60511,1,4,"real",12.0833333333333
"1353",14,"even",0.62294,0,4,"real",12.0833333333333
"1380",14,"children",1.09988,1,8,"real",12.0833333333333
"1567",43,"garden",1.68385,1,6,"real",12.1666666666667
"16761",43,"then",0.853335,1,4,"real",12.1666666666667
"1689",43,"open",0.818765,1,4,"real",12.1666666666667
"1815",43,"even",1.202805,1,4,"real",12.1666666666667
"1855",43,"children",2.39994,1,8,"real",12.1666666666667
"2080",53,"garden",0.751385,1,6,"real",12.3333333333333
"2132",53,"then",0.479865,1,4,"real",12.3333333333333
"21551",53,"open",0.668055,1,4,"real",12.3333333333333
"2358",53,"even",0.633735,1,4,"real",12.3333333333333
"2394",53,"children",0.66861,1,8,"real",12.3333333333333
"2502",86,"garden",0.4932,0,6,"real",12.3333333333333
"2677",86,"open",0.7158,1,4,"real",12.3333333333333
"2685",86,"then",0.6382,1,4,"real",12.3333333333333
"2835",86,"children",0.6421,1,8,"real",12.3333333333333
"2892",86,"even",1.0152,1,4,"real",12.3333333333333
"3099",82,"garden",0.6577,1,6,"real",12.9166666666667
"3152",82,"then",0.633425,1,4,"real",12.9166666666667
"3190",82,"open",0.6675,1,4,"real",12.9166666666667
"3319",82,"even",0.89988,1,4,"real",12.9166666666667
"3323",82,"children",0.85051,1,8,"real",12.9166666666667
"3580",53,"garden",0.751385,1,6,"real",12.3333333333333
"3632",53,"then",0.479865,1,4,"real",12.3333333333333
"3655",53,"open",0.668055,1,4,"real",12.3333333333333
"3858",53,"even",0.633735,1,4,"real",12.3333333333333
"3894",53,"children",0.66861,1,8,"real",12.3333333333333
"4002",86,"garden",0.4932,0,6,"real",12.3333333333333
"4177",86,"open",0.7158,1,4,"real",12.3333333333333
"4185",86,"then",0.6382,1,4,"real",12.3333333333333
"4335",86,"children",0.6421,1,8,"real",12.3333333333333
"4392",86,"even",1.0152,1,4,"real",12.3333333333333
"4572",10,"garden",1.297545,1,6,"real",12.8333333333333
"4601",10,"then",3.888005,0,4,"real",12.8333333333333
"4693",10,"open",0.8635,1,4,"real",12.8333333333333
"4807",10,"children",1.400095,1,8,"real",12.8333333333333
"48521",10,"even",0.872115,1,4,"real",12.8333333333333
"5099",105,"garden",1.93519,1,6,"real",12.8333333333333
"5101",105,"open",0.89755,1,4,"real",12.8333333333333
"5188",105,"then",0.7672,1,4,"real",12.8333333333333
"5326",105,"even",0.93824,0,4,"real",12.8333333333333
"5346",105,"children",0.750495,0,8,"real",12.8333333333333
"32",13,"garden",0.6782,1,6,"real",14.0833333333333
"112",13,"then",0.455845,1,4,"real",14.0833333333333
"179",13,"open",0.48385,1,4,"real",14.0833333333333
"338",13,"even",0.66133,1,4,"real",14.0833333333333
"391",13,"children",0.48742,1,8,"real",14.0833333333333
"534",19,"garden",0.444,1,6,"real",14.1666666666667
"603",19,"then",0.506,1,4,"real",14.1666666666667
"655",19,"open",0.638,1,4,"real",14.1666666666667
"818",19,"even",0.802,1,4,"real",14.1666666666667
"834",19,"children",0.661,1,8,"real",14.1666666666667
"52",4,"garden",0.72022,1,6,"real",15.4166666666667
"128",4,"then",1.49951,1,4,"real",15.4166666666667
"155",4,"open",0.65669,1,4,"real",15.4166666666667
"387",4,"children",0.719795,1,8,"real",15.4166666666667
"394",4,"even",1.188725,1,4,"real",15.4166666666667
"552",98,"garden",0.76521,1,6,"real",15.0833333333333
"6261",98,"open",1.04989,1,4,"real",15.0833333333333
"652",98,"then",0.73456,1,4,"real",15.0833333333333
"896",98,"even",0.79687,1,4,"real",15.0833333333333
"899",98,"children",0.983725,1,8,"real",15.0833333333333
"1060",116,"garden",0.66824,1,6,"real",15.6666666666667
"1128",116,"open",0.60457,1,4,"real",15.6666666666667
"1184",116,"then",1.119085,1,4,"real",15.6666666666667
"1360",116,"even",0.934225,1,4,"real",15.6666666666667
"1366",116,"children",0.849435,1,8,"real",15.6666666666667
"78",102,"garden",0.568005,1,6,"real",16.4166666666667
"124",102,"open",0.61862,1,4,"real",16.4166666666667
"125",102,"then",0.77451,1,4,"real",16.4166666666667
"317",102,"even",0.64845,1,4,"real",16.4166666666667
"393",102,"children",0.51156,1,8,"real",16.4166666666667
"79",18,"garden",0.73448,1,6,"real",17.9166666666667
