"","subj","pcor","f1PL","f2PL1PL","f2PL"
"30",28,0.718,-1.22455397067836,-1.23395743856029,-1.04977551308008
"31",101,0.724,-1.28634432126521,-1.29499867285193,-1.11325533898267
"32",7,0.748,-0.669325614440925,-0.676574004558714,-0.813169152017436
"33",89,0.752,-1.04664990211669,-1.05550273672884,-1.02855307065716
"34",111,0.76,-0.77232684205851,-0.780395372218649,-0.868448997629195
"35",91,0.762,-0.81599338310633,-0.825457443532293,-0.836059920146032
"36",99,0.77,-0.773043159757043,-0.748659353294313,-0.787417370163175
"37",71,0.774,-0.588914301598343,-0.596182146198149,-0.813002627421104
"38",25,0.776,-0.306574831041009,-0.313417233552991,-0.793332142519617
"39",49,0.776,-0.193862340382811,-0.200629154794944,-0.602237688826327
"40",20,0.782,-0.658641322180527,-0.633308871531523,-0.883072845892039
"41",48,0.784,-0.316391587586269,-0.32421238788917,-0.749741528742627
"42",9,0.786,-0.456070323630309,-0.464013402717118,-0.790894626352953
"43",47,0.798,-0.245378052800266,-0.216963588104862,-0.628327594681359
"44",103,0.8,-0.402623703062452,-0.411391829166872,-0.753569369144139
"45",35,0.802,-0.212784412145195,-0.219828765023193,-0.779556676016309
"46",14,0.806,-0.119177354102053,-0.126336213733528,-0.603772221509181
"47",81,0.806,-0.462167033449786,-0.470358409090468,-0.78282749085754
"48",84,0.806,-0.471972157593134,-0.479598900106866,-0.679638416919161
"49",30,0.808,-0.173473679714412,-0.180682702798601,-0.641689229433207
"50",112,0.81,0.0195098903530656,0.0139871087250533,-0.59576445499957
"51",21,0.814,-0.268278197483902,-0.276338935496057,-0.606871413611553
"52",59,0.814,-0.19128352486116,-0.198656017451314,-0.625943151455965
"53",100,0.814,-0.202222246094478,-0.209377195294225,-0.5993026006445
"54",2,0.816,-0.240156840030065,-0.247974457067347,-0.717746935827644
"55",55,0.816,0.0348698934984833,0.0723168782533012,-0.593172239536024
"56",13,0.826,0.420225436832416,0.415141823429744,-0.599578414850759
"57",50,0.826,0.000605951848401329,0.0355514008493004,-0.619475970179236
"58",90,0.832,0.306455577539998,0.30022315229925,-0.447053285001567
"59",22,0.836,0.0925138214443281,0.0864182213386655,-0.602669265292785
"60",117,0.836,0.420897989527928,0.415813969573778,-0.420620295099889
"61",85,0.838,0.292506835038778,0.287304609782873,-0.400892681464214
"62",23,0.84,0.21537564969261,0.209850695830736,-0.597220519657066
"63",42,0.85,0.333369369847753,0.328113624647517,-0.6013242274882
"64",79,0.85,0.535306526930254,0.530443668434474,-0.397027509368445
"65",88,0.85,0.251130235880673,0.290560630957424,-0.402746789758205
"66",8,0.852,0.280792419460463,0.274941771745184,-0.415963867233427
"67",32,0.852,0.382118939438624,0.421912999986916,-0.598957583396754
"68",43,0.852,0.541874440877139,0.536853117131954,-0.401156341471375
"69",67,0.852,0.398036020852553,0.391660354327184,-0.596164058295671
"70",119,0.852,0.364069951591689,0.358289868150078,-0.59902648748295
"71",3,0.854,0.29011229741849,0.284547422346228,-0.608373837974547
"72",116,0.854,0.230466476870916,0.224731136750843,-0.600451337137561
"73",70,0.856,0.454010930721677,0.496248115505814,-0.397108803703888
"74",19,0.86,0.538090204545925,0.532103897992051,-0.370236185362147
"75",56,0.864,1.19299123196962,1.18958257672314,-0.37816213470123
"76",77,0.864,0.0422970874374357,0.0352425480487711,-0.585523959335922
"77",17,0.866,0.54501961137971,0.593358816251715,-0.253687042078
"78",53,0.866,1.17907053160078,1.17586392989199,-0.385043718044247
"79",75,0.866,0.536718402290285,0.531038688172097,-0.416362539909642
"80",86,0.868,0.925938324238915,0.922429676475022,-0.29230083117634
"81",110,0.87,0.391497942804953,0.385475028221959,-0.48892611682167
"82",29,0.872,0.710563883962953,0.706102448751329,-0.363549380216301
"83",37,0.872,0.394900480140862,0.389301370125943,-0.354920212091232
"84",40,0.872,0.964330640501357,0.960712006139853,-0.396054464733826
"85",54,0.872,0.78716129724695,0.782648747598908,-0.399121118292983
"86",114,0.874,1.0118027411912,1.00798645483199,-0.207189342561233
"87",6,0.878,1.14699671253132,1.14343887763577,-0.201995609347812
"88",31,0.88,1.10296661706082,1.09935417738099,-0.242928128425801
"89",65,0.88,1.22320142643626,1.21973226475049,-0.207008959507005
"90",68,0.882,1.05449193313742,1.05087521474896,-0.105307166342141
"91",107,0.89,1.1674917224387,1.23283290900286,-0.155956209342314
"92",38,0.894,1.15541418317043,1.15271049375691,-0.243054258806778
"93",33,0.896,1.4306463044305,1.42806552436634,-0.0880781928791159
"94",5,0.898,1.23896908802485,1.30814233788453,-0.0504160934346768
"95",18,0.898,1.51511595117511,1.51292358322043,-0.0747375508156407
"96",74,0.906,1.78482038790034,1.78267912584641,-0.0252245711146672
"97",57,0.908,1.34832929031214,1.34536332226369,-0.203437859635465
"98",46,0.91,1.44129622858662,1.43853646981585,-0.0444128830853521
"99",41,0.912,1.72642576706503,1.7242052324946,0.156348616352734
"100",45,0.914,1.27416850256403,1.27103302652207,-0.0911783356735442
"101",63,0.914,2.43601514501945,2.43493507484574,0.336556903531735
"102",98,0.914,1.4498224185383,1.44772955833828,-0.00789114114520231
"103",120,0.918,2.11197739651987,2.11073894521956,-0.0903689288242305
"104",83,0.92,1.89047519332258,1.98991169180421,0.16339498563244
"105",27,0.932,2.12299000085452,2.12157572342396,0.28965400984648
"106",34,0.932,2.70654836921919,2.70619121297395,0.37198866096293
"107",15,0.94,2.3648381838666,2.36402154527891,0.117423051032459
"108",82,0.944,3.73717987804364,3.73789467269491,0.984065205955475
"109",97,0.946,2.77420534918968,2.77341677636381,0.503901547363214
"110",106,0.946,2.75971754399841,2.75897927606888,0.632838733231133
"111",76,0.948,3.63086059794858,3.62962567756244,0.752923801993892
"112",10,0.952,4.65293831968846,4.6540877776691,1.73195054196283
"113",64,0.954,3.23334395490644,3.23227424917552,0.881475681972598
"114",12,0.956,4.06848903093158,4.06705177457254,0.808084106782139
"115",4,0.96,4.21517082344954,4.21394536549086,1.41069149004087
"116",1,0.972,4.48408887270661,4.48424345724122,1.4590399816405
"117",16,0.972,4.92840849584157,4.92798948471236,1.77586458923655
"118",102,0.98,5.21925070817739,5.21956255551329,2.09238023736417
