"","realpseudo"
"1364","real"
"1365","real"
"1366","pseudo"
"1367","real"
"1368","pseudo"
"1369","pseudo"
"1370","pseudo"
"1371","real"
"1372","real"
"1373","real"
"1374","real"
"1375","real"
"1376","real"
"1377","real"
"1378","pseudo"
"1379","real"
"1380","pseudo"
"1381","real"
"1382","real"
"1383","real"
"1384","real"
"1385","pseudo"
"1386","pseudo"
"1387","pseudo"
"1388","pseudo"
"1389","pseudo"
"1390","real"
"1391","real"
"1392","real"
"1393","pseudo"
"1394","real"
"1395","pseudo"
"1396","pseudo"
"1397","pseudo"
"1398","pseudo"
"1399","pseudo"
"1400","pseudo"
"1401","pseudo"
"1402","real"
"1403","pseudo"
"1404","real"
"1405","pseudo"
"1406","pseudo"
"1407","real"
"1408","pseudo"
"1409","pseudo"
"1410","pseudo"
"1411","pseudo"
"1412","real"
"1413","real"
"1414","real"
"1415","pseudo"
"1416","real"
"1417","real"
"1418","pseudo"
"1419","pseudo"
"1420","real"
"1421","pseudo"
"1422","real"
"1423","pseudo"
"1424","real"
"1425","pseudo"
"1426","pseudo"
"1427","real"
"1428","pseudo"
"1429","real"
"1430","real"
"1431","real"
"1432","pseudo"
"1433","pseudo"
"1434","pseudo"
"1435","pseudo"
"1436","pseudo"
"1437","real"
"1438","pseudo"
"1439","pseudo"
"1440","real"
"1441","pseudo"
"1442","pseudo"
"1443","pseudo"
"1444","real"
"1445","real"
"1446","pseudo"
"1447","real"
"1448","real"
"1449","pseudo"
"1450","real"
"1451","pseudo"
"1452","pseudo"
"1453","real"
"1454","real"
"1455","pseudo"
"1456","pseudo"
"1457","real"
"1458","pseudo"
"1459","pseudo"
"1460","pseudo"
"1461","pseudo"
"1462","real"
"1463","pseudo"
"1464","real"
"1465","real"
"1466","real"
"1467","real"
"1468","real"
"1469","pseudo"
"1470","pseudo"
"1471","real"
"1472","pseudo"
"1473","real"
"1474","real"
"1475","pseudo"
"1476","pseudo"
"1477","pseudo"
"1478","pseudo"
"1479","real"
"1480","pseudo"
"1481","pseudo"
"1482","real"
"1483","real"
"1484","real"
"1485","pseudo"
"1486","real"
"1487","pseudo"
"1488","real"
"1489","real"
"1490","real"
"1491","real"
"1492","real"
"1493","real"
"1494","real"
