"","word","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"53","black",1,0.733333333333333,0.773584905660377,0.839285714285714,0.909090909090909,0.833333333333333,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"54","blans",0,0.533333333333333,0.509433962264151,0.660714285714286,0.863636363636364,1,0.818181818181818,NA,1,1,1,1,NA,1,NA,NA,0,NA,NA,NA,NA,1,1
"55","bledge",0.5,0.733333333333333,0.528301886792453,0.839285714285714,0.636363636363636,1,0.727272727272727,NA,0.5,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"56","bone",0.5,0.733333333333333,0.830188679245283,0.875,0.954545454545455,0.833333333333333,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"57","bot",0,0.266666666666667,0.490566037735849,0.607142857142857,0.318181818181818,0.333333333333333,0.272727272727273,NA,1,0.666666666666667,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"58","bove",0,0.466666666666667,0.679245283018868,0.696428571428571,0.818181818181818,0.833333333333333,0.727272727272727,NA,1,0.666666666666667,1,1,NA,1,NA,NA,0,NA,NA,NA,NA,1,1
"59","brought",0.5,0.866666666666667,0.679245283018868,0.785714285714286,0.818181818181818,0.833333333333333,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"60","brubs",1,0.2,0.679245283018868,0.767857142857143,0.727272727272727,0.833333333333333,1,NA,0.5,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"61","brush",1,0.533333333333333,0.830188679245283,0.821428571428571,0.863636363636364,0.833333333333333,1,NA,1,0.666666666666667,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"62","budget",0.5,0.866666666666667,0.924528301886792,0.732142857142857,0.772727272727273,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"63","building",1,0.933333333333333,0.849056603773585,0.892857142857143,0.954545454545455,0.833333333333333,1,NA,0.5,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"64","bulbet",0,0.6,0.622641509433962,0.732142857142857,0.727272727272727,1,0.818181818181818,NA,0.5,1,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"65","business",0.5,0.4,0.60377358490566,0.892857142857143,0.863636363636364,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
"66","but",0.5,0.533333333333333,0.660377358490566,0.821428571428571,0.863636363636364,1,0.818181818181818,NA,1,0.333333333333333,0,1,NA,1,NA,NA,1,NA,NA,NA,NA,0,1
"67","cag",0.5,0.4,0.943396226415094,0.839285714285714,1,0.833333333333333,0.727272727272727,NA,0.5,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,0,1
"68","can",0.5,1,0.849056603773585,0.910714285714286,0.954545454545455,0.5,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1
